gene,importance,rank,method
Sema4a,0.016855213947868316,545,Random Forest
Trf,0.01683938026317159,546,Random Forest
Stmn2,0.016838556772470176,547,Random Forest
Adgre4,0.01683230368154486,548,Random Forest
Ceacam10,0.016812722436356585,549,Random Forest
Samsn1,0.016793116687530994,550,Random Forest
Golm1,0.01679310405475153,551,Random Forest
Pln,0.01678456506781965,552,Random Forest
Dgat2,0.016779209374851965,553,Random Forest
Myo1g,0.016776694544238125,554,Random Forest
Clu,0.016731871218006462,555,Random Forest
Gm6377,0.016731823786509933,556,Random Forest
Clec5a,0.016728112694380428,557,Random Forest
Timp3,0.01671629076100191,558,Random Forest
Serpinb1a,0.016714668117449274,559,Random Forest
Slc43a3,0.016705978617688598,560,Random Forest
Tppp3,0.01670566318211399,561,Random Forest
Gas6,0.016678083893399955,562,Random Forest
Gkn3,0.016676194830942206,563,Random Forest
Adssl1,0.01667373140806527,564,Random Forest
Cebpb,0.016673730409343588,565,Random Forest
Slc19a1,0.01663149632462113,566,Random Forest
Celf2,0.016624195277366895,567,Random Forest
RP23-6I17.1,0.01661846313059629,568,Random Forest
Per3,0.016606612991913683,569,Random Forest
P2ry14,0.016602705311866552,570,Random Forest
Apold1,0.016579019877027437,571,Random Forest
Ptafr,0.016571526917494202,572,Random Forest
Sox4,0.016564371852653945,573,Random Forest
Ptprc,0.01654619922237549,574,Random Forest
Ncf2,0.016499626410041573,575,Random Forest
Hmgcs2,0.016497733331336136,576,Random Forest
Slfn2,0.016489729518926667,577,Random Forest
Ndufa4l2,0.01644683660117911,578,Random Forest
Lag3,0.01640440209394571,579,Random Forest
Higd1b,0.01639526562144935,580,Random Forest
Rgs5,0.016382459374482846,581,Random Forest
Cks2,0.01638023398699051,582,Random Forest
Nfe2,0.01637791574233628,583,Random Forest
Rtn1,0.016353156596974196,584,Random Forest
Fcgr1,0.016344731047154733,585,Random Forest
Gal3st4,0.01633474752871153,586,Random Forest
Meox1,0.016323059242828127,587,Random Forest
Prune2,0.016310418202407355,588,Random Forest
Efhd2,0.01630455667353545,589,Random Forest
Dnajb1,0.016283938677241126,590,Random Forest
Plp2,0.01627087793920605,591,Random Forest
Adap2,0.0162478974465818,592,Random Forest
Trem2,0.01616231100952815,593,Random Forest
Mthfd2,0.01616153340411646,594,Random Forest
Gbp3,0.016152633987925793,595,Random Forest
Phf11a,0.01613851999533908,596,Random Forest
Agpat5,0.016122808432761638,597,Random Forest
Fhl1,0.016115009008301862,598,Random Forest
Hk2,0.016087877135809114,599,Random Forest
Serpine1,0.016081518982944635,600,Random Forest
Cnn1,0.016077120652381007,601,Random Forest
Zfp36l2,0.016057527422240737,602,Random Forest
Tmem45a,0.01601695363404778,603,Random Forest
Cd93,0.01599979191159349,604,Random Forest
Traf1,0.01598224944641416,605,Random Forest
Cnn2,0.01597487006333691,606,Random Forest
Cryba4,0.015973316543439354,607,Random Forest
